epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.0957,1.09692,1.28715,1.17781,0.74101,0.62328,0.70406,0.55299,0.91378,0.74648,0.97173,8.33e-06,8.33e-06,8.33e-06
2,158.102,1.04,1.12251,1.15111,0.73477,0.64969,0.72237,0.56721,0.90774,0.72849,0.96874,1.69664e-05,1.69664e-05,1.69664e-05
3,231.327,1.13286,1.11436,1.15717,0.7211,0.66315,0.72586,0.57527,0.90346,0.72241,0.96725,2.46604e-05,2.46604e-05,2.46604e-05
